Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"1-Bedroom Unit (3606) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16411000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (1826) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16392000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (2022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16322000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (2015) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15492000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"2-Bedroom Unit (3311) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",25579000,2,0,89.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (3122) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16602000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (1423) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16402000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"2-Bedroom Unit (4111) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",28695000,2,0,89.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (31F) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",26849000,1,1,74.0,0.0,14.588377,121.059897,0,National Capital Region
"1-Bedroom Unit (30G) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",26840000,1,1,74.0,0.0,14.588377,121.059897,0,National Capital Region
"Studio (3717) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",8830000,1,0,35.0,0.0,14.588882,121.079016,0,National Capital Region
"Studio (3617) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",8830000,1,0,35.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (3810) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16382000,1,1,58.0,0.0,14.588882,121.079016,0,National Capital Region
"Studio Deluxe (31E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12546000,1,1,45.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (8A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21828000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Deluxe (30E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12527000,1,1,45.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (1023) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16332000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (19A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21946000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (3018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16007000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (38D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",27046000,1,1,70.0,0.0,14.588377,121.059897,0,National Capital Region
"2-Bedroom Unit (3211) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",25579000,2,0,89.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (35M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",22805000,1,1,70.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (1921) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15492000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (25P) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",22868000,1,1,67.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (29D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",20712000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (36P) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",22561000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (28L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11853000,1,1,39.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (49N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12364000,1,1,41.0,0.0,14.575822,121.064324,0,National Capital Region
"2-Bedroom Unit (11B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",30789000,2,2,104.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (3812) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",8492000,1,1,35.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (1108) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15635000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (3816) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16411000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (7P) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21370000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (57D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",26072000,1,1,76.0,0.0,14.575822,121.064324,0,National Capital Region
"2-Bedroom Unit (10O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",31864000,2,2,104.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (14A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21810000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (43N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12261000,1,1,41.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (34L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12146000,1,1,40.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (30L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11777000,1,1,39.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (42I) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",10359000,1,1,33.0,0.0,14.575822,121.064324,0,National Capital Region
"Corner 1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City,...","Mactan, Lapu-Lapu",9033375,1,1,42.0,0.0,10.3051555,124.0112408,0,Central Visayas
