Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"Aeon Duplex Bungalow SD for Sale in Sentosa, Calamba Laguna","Punta, Calamba",3124880,2,0,71.0,120.0,14.182,121.12621179622,0,Calabarzon
"2-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...","Ma-A, Davao",8645982,2,2,77.0,0.0,7.0867489,125.5840299,0,Davao
"RFO Studio Unit (21.20 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan",3900000,1,1,21.0,0.0,14.600676,121.43876,0,Calabarzon
"Viridian in Greenhills, 2-Bedroom Unit (51H) for Sale in San Juan City","Greenhills, San Juan",37940000,2,3,141.0,0.0,14.600676,121.43876,0,Calabarzon
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ALICE Model","San Sebastian, Kawit",1880600,3,0,40.0,40.0,14.4185112,120.898962,0,Calabarzon
"Studio Condo Unit (16E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8018070,1,1,33.0,0.0,14.578255,121.052143,0,National Capital Region
"2-Storey Townhouse (AMITA - Mid) for Sale in Amoa, Compostela, Cebu - with Special Of...","Tamiao, Compostela",4200000,2,0,53.0,50.0,10.44226,123.994411,0,Central Visayas
"2-Storey Townhouse Inner Crescent Mid Unit for Sale in Pristina North Residences, Tal...","Talamban, Cebu",14700000,3,0,115.0,150.0,10.36171,123.911374,0,Central Visayas
"For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite","Carsadang Bago I, Imus",5234791,3,0,75.0,112.0,14.4234269,120.9289746,0,Calabarzon
"Townhouse End Unit for Sale in Ajoya Capas, Tarlac - with Special Offer","Talaga, Capas",2500000,0,0,49.0,86.0,15.38115,120.590541,0,Central Luzon
The Gentri Heights: Haila 2-Storey House for Sale in General Trias Cavite,"Manggahan, General Trias",5548360,4,0,107.0,120.0,14.296605,120.904361,0,Calabarzon
"Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer","Talaga, Capas",2100000,0,0,49.0,50.0,15.38115,120.590541,0,Central Luzon
"Studio Unit (27 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu",3199000,1,1,27.0,0.0,10.305725,123.904993,0,Central Visayas
Cityland 101 Xavierville - Studio Unit for Sale in Quezon City,"Loyola Heights, Quezon City",1916509,1,1,17.0,0.0,14.640624,121.076504,0,National Capital Region
"2-Storey 3-Bedroom Townhome Inner Unit for Sale - Estanzia Enclave, Tanza Cavite","Halayhay, Tanza",3000000,3,0,55.0,50.0,14.35989,120.822985,0,Calabarzon
"Cityland Pines Peak Tower II, 3-Bedroom Unit for Sale in Mandaluyong","Barangka Ilaya, Mandaluyong",7852870,3,2,74.0,0.0,14.571338,121.04641,0,National Capital Region
"2-Storey 3BR House and Lot (Leia Duplex) for Sale in Suntrust Sentosa, Calamba, Lagun...","Punta, Calamba",2925600,3,0,60.0,80.0,14.176345,121.122173,0,Calabarzon
For Sale 2BR Condo in Valenzuela - Moldex Residences Valenzuela Caramoan Bldg,"Paso de Blas, Valenzuela",3580000,2,2,32.0,0.0,14.7049986,120.98518,0,National Capital Region
"Condominium with 3 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City",8229500,3,2,53.0,0.0,14.621176,121.022808,0,National Capital Region
"Studio Unit (27 sqm) for Sale in Suntrust Shanata, Novaliches, Quezon City","Novaliches, Quezon City",3113220,1,1,27.0,0.0,14.68155,121.0198,0,National Capital Region
"Bungalow House and Lot (Aeon Duplex) for Sale in Suntrust Sentosa, Calamba, Laguna","Punta, Calamba",1562440,1,0,41.0,60.0,14.176345,121.122173,0,Calabarzon
"2BR Unit for Sale at Woodsville Crest, Merville Paranaque | 5% Launch Promo","Merville, Paranaque",11600000,2,1,58.0,0.0,14.499387,121.025633,0,National Capital Region
"3BR Quadruplex (Azumi Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna","Punta, Calamba",2459200,3,0,80.0,60.0,14.176345,121.122173,0,Calabarzon
"3-Bedroom Duplex House and Lot for Sale in Villaggio Enclave, General Trias, Cavite","Buenavista I, General Trias",3000000,3,0,55.0,80.0,14.321965,120.895878,0,Calabarzon
"1-Bedroom Unit (N62C1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig",14632000,1,1,59.0,0.0,14.583771,121.059675,0,National Capital Region
"2-Bedroom Unit (33H) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",42359000,2,2,114.0,0.0,14.588377,121.059897,0,National Capital Region
"2-Storey 3-Bedroom House and Lot (Alto Model) for Sale in Gran Avila, Calamba, Laguna...","Majada Labas, Calamba",2902810,3,0,60.0,90.0,14.196755,121.104962,0,Calabarzon
"3-Bedroom Single Detached House and Lot for Sale in The Emerald Residences, Bagakay, ...","Bagakay, Ozamiz",2906840,3,0,56.0,100.0,8.14369,123.813471,0,Northern Mindanao
"Metro Tagaytay - Daphne Single Attached 2BR House and Lot for Sale in Montebello, Alf...","Kaytitinga III, Alfonso",6900000,2,0,150.0,0.0,14.0971303,120.8354138,0,Calabarzon
"Condominium with 2 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City",6785600,2,1,39.0,0.0,14.621176,121.022808,0,National Capital Region
"Studio Condo Unit (7D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7623299,1,1,31.0,0.0,14.578255,121.052143,0,National Capital Region
"Fully-finished 1-Bedroom Condo Unit for Sale in Terraces at Tradizo, Imus Cavite","Anabu II-A, Imus",3000000,1,1,26.0,0.0,14.3841135,120.9356405,0,Calabarzon
"Studio Unit for Sale in The Mist Residences, Bakakeng Central, Baguio City","Bakakeng Central, Baguio",3800000,1,1,28.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"3-Bedroom Condo Unit for Sale in Suntrust Solana, Ermita, Manila","Ermita, Manila",7500000,3,2,52.0,0.0,14.590526,120.985482,0,National Capital Region
"4-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Dana wCB, NRF...","Longos, Malolos",6970000,4,0,85.0,110.0,14.8743986,120.7973062,0,Central Luzon
"2-Storey 4BR House and Lot (Jazmine Model) for Sale in Governor's Hills, General Tria...","Biclatan, General Trias",6841640,4,0,160.0,154.0,14.2814,120.918211,0,Calabarzon
"3-Bedroom Single Detached House and Lot for Sale in The Emerald Residences, Bagakay, ...","Bagakay, Ozamiz",5157800,3,0,120.0,120.0,8.14369,123.813471,0,Northern Mindanao
"Semi-Furnished 3-Bedroom House and Lot for Sale at Dona Rufina, Bagakay, Ozamiz","Bagakay, Ozamiz",1699999,3,0,70.0,100.0,8.14369,123.813471,0,Northern Mindanao
"Kiara Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna","Punta, Calamba",2406200,3,0,79.0,60.0,14.176345,121.122173,0,Calabarzon
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Carezza Building,"Bakakeng Central, Baguio",3600000,1,1,21.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"Pre-Selling Studio Unit (26.42 sqm) in Acacia Escalades B, Pasig City","Manggahan, Pasig",3890000,1,1,26.0,0.0,14.601887,121.093698,0,National Capital Region
"4-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ADELLE Model","San Sebastian, Kawit",2671400,4,0,70.0,60.0,14.4185112,120.898962,0,Calabarzon
"Azalea 3-Bedroom Townhouse for Sale in Primavera Homes Phase 2, Tanauan Batangas","Darasa, Tanauan",2698000,3,0,65.0,60.0,14.0661817,121.1567437,0,Calabarzon
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Standard","Lumil, Silang",4460000,3,0,63.0,88.0,14.183344,121.012375,0,Calabarzon
2-Storey 4BR Single Detached House and Lot (Wallace Model) for Sale in Washington Pla...,"Sampaloc II, Dasmarinas",6298845,4,0,83.0,140.0,14.287385,120.964753,0,Calabarzon
"RFO Studio Unit 2315A for Sale in Grand Riviera Suites, Roxas Boulevard, Manila","Roxas Boulevard, Manila",4363000,1,1,20.0,0.0,14.551476,120.9895887,0,National Capital Region
"1-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 2","San Antonio, Davao",7320000,1,2,50.0,0.0,7.095857,125.630475,0,Davao
"2BR Bi-Level Condo Unit for Sale in West Parc - Alder Building, Filinvest City, Alaba...","Alabang, Muntinlupa",8900000,2,2,73.0,0.0,14.4179774,121.037608,0,National Capital Region
"1-Bedroom Condo Unit (24J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong",12069664,1,1,57.0,0.0,14.578255,121.052143,0,National Capital Region
"3BR House and Lot (Scarlett Model) for Sale in San Francisco Heights, Calamba, Laguna","Palo-Alto, Calamba",4767000,3,0,72.0,110.0,14.188482,121.109967,0,Calabarzon
"2BR Bungalow House (Francine Model) for Sale in San Francisco Heights, Calamba, Lagun...","Palo-Alto, Calamba",2918180,2,0,46.0,110.0,14.191945,121.113605,0,Calabarzon
"2BR 1-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavit...","Biclatan, General Trias",3199000,2,0,77.0,100.0,14.2814,120.918211,0,Calabarzon
"2BR 2-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavit...","Biclatan, General Trias",4353328,2,0,96.0,100.0,14.2814,120.918211,0,Calabarzon
"ROSE (Bare 2-Storey End Unit) - Marytown Place, Sta. Maria Bulacan, 1.6M","Bulac, Santa Maria",1600000,1,0,46.0,57.0,14.83466,121.33919,0,Calabarzon
"Studio Condo Unit for Sale in West Parc - Birch Building, Filinvest City, Alabang Mun...","Alabang, Muntinlupa",4500000,1,1,37.0,0.0,14.4179774,121.037608,0,National Capital Region
"5-Bedroom House and Lot (Amadea Model) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang",9268000,5,0,179.0,176.0,14.183344,121.012375,3,Calabarzon
"YURI 2BR 2-Storey Single Detached for Sale in Idesia Heights, Dasmarinas Cavite","San Agustin I, Dasmarinas",5000000,2,0,63.0,96.0,14.304975,120.944111,0,Calabarzon
"Residential Unit (106-16) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24.0,0.0,10.3058395,123.8908567,0,Central Visayas
"ROSE (Bare 2-Storey Corner Unit) - Marytown Place, Sta. Maria Bulacan, 1.76M","Bulac, Santa Maria",1760000,1,0,46.0,77.0,14.83466,121.33919,0,Calabarzon
"RFO 1BR Unit (37.15 sqm) for Sale - The Trion Towers 3, BGC Taguig","McKinley Hill, Taguig",10000000,1,1,37.0,0.0,14.54595,121.0494,0,National Capital Region
"3BR Quadruplex (Kiara Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna","Punta, Calamba",2406200,3,0,79.0,60.0,14.176345,121.122173,0,Calabarzon
"ROSE (Bare 2-Storey Inner Unit) - Marytown Place, Sta. Maria Bulacan, 1.40M","Bulac, Santa Maria",1400000,1,0,46.0,40.0,14.83466,121.33919,0,Calabarzon
"3-Bedroom Unit for Sale in Suntrust Amadea - Tower 1, Quezon City","Paligsahan, Quezon City",6709716,3,2,46.0,0.0,14.646511,120.996952,0,National Capital Region
"Amaya Two Storey SD for Sale in Sentosa, Calamba Laguna","Punta, Calamba",7032800,4,0,149.0,176.0,14.176345,121.122173,0,Calabarzon
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 327-H","Cupang, Muntinlupa",5446700,2,1,58.0,0.0,14.434669,121.040194,0,National Capital Region
"2-Bedroom Unit for Sale in 88 Gibraltar Tower 2, Gibraltar, Baguio","Gibraltar, Baguio",6853000,2,1,43.0,0.0,16.419598,120.626852,0,Cordillera Administrative Region
2-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,"Eden, Mexico",3100000,2,0,59.0,88.0,15.125835,120.680386,0,Central Luzon
Grand View Tower - Studio Unit (21 sqm) for Sale in Pasay City,"Libertad, Pasay",4500000,1,1,21.0,0.0,14.547436,120.998485,0,National Capital Region
"Studio Unit for Sale in Suntrust Amadea - Tower 2, Quezon City","Paligsahan, Quezon City",3040080,1,1,24.0,0.0,14.646511,120.996952,0,National Capital Region
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...","Manibaug Paralaya, Porac",2643963,3,0,62.0,50.0,15.119767,120.560714,0,Central Luzon
"2-Bedroom Condo Unit (16H) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong",16125357,2,2,84.0,0.0,14.578255,121.052143,0,National Capital Region
"For Sale: 2BR Unit (37.9 sqm) in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig",5008864,2,1,37.0,0.0,14.555535,121.090095,0,National Capital Region
"The Sofia Terraces, 2-Bedroom Condo Unit for Sale in Quezon Hills, Baguio City","Quezon Hill Proper, Baguio",5940000,2,1,45.0,0.0,16.4145653,120.5814088,0,Cordillera Administrative Region
"Penthouse Unit (54C) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",111512000,4,4,268.0,0.0,14.588377,121.059897,3,National Capital Region
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas",2239999,2,0,42.0,60.0,14.304975,120.944111,0,Calabarzon
"4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -BRIANA Model","Alapan II-A, Imus",6756360,4,0,110.0,100.0,14.4084872,120.9062254,0,Calabarzon
"For Sale 2 Bedroom Condo Unit Brand New and Furnished in Alang-Alang, Mandaue","Alang-Alang, Mandaue",5000000,2,1,38.0,0.0,10.9221743,124.0208544,0,Central Visayas
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -GABR...","Pasong Camachile I, General Trias",6650000,3,0,84.0,120.0,14.37318,120.896613,0,Calabarzon
"Studio Unit (45J) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",10715000,1,1,34.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Condo Unit (7F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7948203,1,1,33.0,0.0,14.578255,121.052143,0,National Capital Region
"Pre-Selling 3BR (211.57 sqm), The Residences At The Westin Manila Sonata Place","Ortigas CBD, Pasig",50085329,3,0,211.0,0.0,14.5808822,121.05885,3,National Capital Region
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...","Manibaug Paralaya, Porac",2820800,3,0,78.0,63.0,15.119767,120.560714,0,Central Luzon
"Studio Condo Unit (7B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7216034,1,1,32.0,0.0,14.578255,121.052143,0,National Capital Region
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -CHESSA Model","Alapan II-A, Imus",5978000,3,0,90.0,100.0,14.4084872,120.9062254,0,Calabarzon
"Suntrust Capitol Plaza - 1-Bedroom Unit for Sale in Diliman, Quezon City","Diliman, Quezon City",7300000,1,1,40.0,0.0,14.644874,121.050593,0,National Capital Region
"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -ALEX...","Pasong Camachile I, General Trias",7410000,4,0,100.0,120.0,14.37318,120.896613,0,Calabarzon
"ROSE (Bare 2-Storey End Unit) - Marytown Place, Sta. Maria Bulacan, 1.4M","Bulac, Santa Maria",1400000,1,0,46.0,48.0,14.83466,121.33919,0,Calabarzon
"2-Bedroom Unit (3109) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",25471000,2,1,89.0,0.0,14.588882,121.079016,0,National Capital Region
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5A","Wack-Wack Greenhills, Mandaluyong",12370523,2,1,52.0,0.0,14.592173,121.053333,0,National Capital Region
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -CHES...","Pasong Camachile I, General Trias",5978000,3,0,90.0,100.0,14.37318,120.896613,0,Calabarzon
"Studio (4117) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",10021000,1,0,35.0,0.0,14.588882,121.079016,0,National Capital Region
3-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,"Eden, Mexico",3800000,3,0,72.0,88.0,15.125835,120.680386,0,Central Luzon
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Mode...","Alapan II-A, Imus",5690000,3,0,72.0,100.0,14.4084872,120.9062254,0,Calabarzon
"1-Bedroom Unit (22D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",20502000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"The Mist Residences - Studio Unit for Sale in Bakakeng Central, Baguio City","Bakakeng Central, Baguio",3800000,1,1,28.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
Pre-Selling 1-Bedroom Unit (36 sqm) at The Sapphire Bloc East in Ortigas CBD,"Ortigas CBD, Pasig",8500000,1,1,36.0,0.0,14.587518,121.062753,0,National Capital Region
"5-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Greta, NRFO","Longos, Malolos",10151000,5,0,166.0,143.0,14.8743986,120.7973062,0,Central Luzon
"2-Storey 4BR House and Lot (Amaya Model) for Sale in Suntrust Sentosa, Calamba, Lagun...","Punta, Calamba",7032800,4,0,149.0,176.0,14.176345,121.122173,0,Calabarzon
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Davos Building,"Bakakeng Central, Baguio",4800000,1,1,28.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang",4956000,3,0,93.0,88.0,14.183344,121.012375,0,Calabarzon
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 312-E","Cupang, Muntinlupa",5446700,2,1,58.0,0.0,14.434669,121.040194,0,National Capital Region
"3BR Single Attached House and Lot for Sale in The Villages at Lipa, Brook Village, Ba...","Bugtong Na Pulo, Lipa",3800000,3,0,65.0,116.0,14.0042716,121.1705877,0,Calabarzon
"2-Bedroom Unit for Sale in Suntrust Solana, Ermita Manila","Ermita, Manila",4900000,2,1,39.0,0.0,14.590526,120.985482,0,National Capital Region
"3-Bedroom Unit with Balcony for Sale, Cebu City","Talamban, Cebu",8000000,3,2,72.0,0.0,10.36171,123.911374,0,Central Visayas
"1-Bedroom Unit (3107) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16214000,1,1,57.0,0.0,14.588882,121.079016,0,National Capital Region
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,"Manibaug Paralaya, Porac",8982815,4,0,176.0,168.0,15.119767,120.560714,3,Central Luzon
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City",14612268,2,2,67.0,0.0,14.605396,121.081903,0,National Capital Region
"Studio Unit (37.8 sqm) for Sale in La Vida Tower B, Pasay City","F.B Harisson, Pasay",5006400,1,1,37.0,0.0,14.55323,120.990226,0,National Capital Region
"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",10100000,2,2,68.0,0.0,14.644874,121.050593,0,National Capital Region
"Azumi  Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna","Punta, Calamba",2459200,3,0,80.0,60.0,14.176345,121.122173,0,Calabarzon
"2-Bedroom Condo (Unit H) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City",6363100,2,1,35.0,0.0,14.68155,121.0198,0,National Capital Region
"2BR Unit (37.9 sqm) for Sale in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig",5008864,2,1,37.0,0.0,14.555535,121.090095,0,National Capital Region
"For Sale: 2BR Condo Unit with Balcony in Legacy Leisure Residences, Ma-a, Davao City ...","Ma-A, Davao",8535732,2,2,76.0,0.0,7.0867489,125.5840299,0,Davao
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Groden Building,"Bakakeng Central, Baguio",7300000,1,1,45.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"For Sale: 2-Bedroom Unit in Metrotowne, Las Pinas City","Talon Uno, Las Pinas",6500000,2,1,48.0,0.0,14.446596,120.987165,0,National Capital Region
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Gisella","Lumil, Silang",7860000,4,0,116.0,176.0,14.183344,121.012375,0,Calabarzon
"1-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...","Ma-A, Davao",4206258,1,1,36.0,0.0,7.0867489,125.5840299,0,Davao
1BR Unit (30 sqm) for Sale in Moldex Residences Silang Cavite near Dasmarinas,"Biluso, Silang",3000000,1,1,30.0,0.0,14.247941,120.952854,0,Calabarzon
"Studio Condo Unit (16B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7278411,1,1,32.0,0.0,14.578255,121.052143,0,National Capital Region
"Cityland Pines Peak Tower II, 2-Bedroom Unit for Sale in Mandaluyong","Barangka Ilaya, Mandaluyong",5208904,2,2,44.0,0.0,14.571338,121.04641,0,National Capital Region
"For Sale: 2-Bedroom Unit in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig",5008864,2,1,37.0,0.0,14.555535,121.090095,0,National Capital Region
"2-Storey Townhouse (AMITA - End) for Sale in Amoa, Compostela, Cebu - with Special Of...","Tamiao, Compostela",4200000,2,0,53.0,70.0,10.44226,123.994411,0,Central Visayas
"4-Bedroom House and Lot (Gisella Model) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang",7860000,4,0,116.0,176.0,14.183344,121.012375,0,Calabarzon
3-Bedroom Single-Detached Bungalow House and Lot for Sale in The Emerald Residences P...,"Bagakay, Ozamiz",4250000,3,0,71.0,120.0,8.14369,123.813471,0,Northern Mindanao
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5U","Wack-Wack Greenhills, Mandaluyong",16414733,2,1,69.0,0.0,14.592173,121.053333,0,National Capital Region
Ready for Occupancy 1Bedroom Condo in Bacoor | The Meridian,"Mambog I, Bacoor",4715100,1,1,30.0,0.0,14.4251071,120.9486663,0,Calabarzon
"RFO Studio Unit (24.17 sqm) for Sale in Axis Residences B, Mandaluyong City","Barangka Ilaya, Mandaluyong",4200000,1,1,24.0,0.0,14.571338,121.04641,0,National Capital Region
"3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...","Bugtong Na Pulo, Lipa",6000000,3,0,103.0,143.0,14.0042716,121.1705877,0,Calabarzon
"1 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",6000000,1,1,40.0,0.0,14.644874,121.050593,0,National Capital Region
Cityland One Premier - Studio Unit (17.31 sqm) for Sale in Las Pinas City,"Almanza Uno, Las Pinas",1833376,1,1,17.0,0.0,14.4324914,121.0140532,0,National Capital Region
Metrotowne - Studio Unit for Sale in Las Pinas City,"Talon Uno, Las Pinas",2600000,1,1,22.0,0.0,14.446596,120.987165,0,National Capital Region
"Pre-Selling 1-Bedroom Unit (34 sqm) in Sierra Valley Gardens 1, Cainta, Rizal","San Juan, Cainta",5400000,1,1,34.0,0.0,14.583362,121.130727,0,Calabarzon
"Pre-Selling 1BR Unit (32.02 sqm) in Acacia Escalades B, Pasig City","Manggahan, Pasig",4200000,1,1,32.0,0.0,14.601887,121.093698,0,National Capital Region
"2-Bedroom Condo (Unit A) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City",6363100,2,1,35.0,0.0,14.68155,121.0198,0,National Capital Region
Pre-Selling 2-Bedroom Unit in Moldex Residences Baguio - Davos Building,"Bakakeng Central, Baguio",9400000,2,1,57.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"1-Bedroom Unit (40 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu",5307970,1,1,40.0,0.0,10.305725,123.904993,0,Central Visayas
"Studio - Finished Condo Unit for Sale in The Persimmon Studios, Cebu City - with Spec...","Mabolo, Cebu",3700000,1,1,24.0,0.0,10.31581,123.918231,0,Central Visayas
"3-Bedroom Unit (139 sqm) for Sale in The Signature, Balintawak Quezon City","Pag-Ibig Sa Nayon, Quezon City",21700000,3,2,139.0,0.0,14.646511,120.996952,0,National Capital Region
"The Mist Residences - 3-Bedroom Unit for Sale in Bakakeng Central, Baguio City","Bakakeng Central, Baguio",7800000,3,1,60.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"Pre-selling Studio Unit (30 sqm) in Aurora Escalades, Cubao Quezon City","Cubao, Quezon City",5600000,1,1,30.0,0.0,14.61777,121.0572,0,National Capital Region
"Studio Condo Unit (29E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8107899,1,1,33.0,0.0,14.578255,121.052143,0,National Capital Region
"3-Bedroom Unit for Sale in The Mist Residences, Bakakeng Central, Baguio City","Bakakeng Central, Baguio",7800000,3,1,60.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"2BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 5.5M","Paligsahan, Quezon City",5479920,2,1,36.0,0.0,14.631613,121.023475,0,National Capital Region
"3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...","Valle Cruz, Cabanatuan",4700000,3,0,81.0,110.0,15.47877,120.995348,0,Central Luzon
TALIA 2-Storey Single Attached (Irregular) for Sale in Idesia Dasmarinas Phase 1,"San Agustin I, Dasmarinas",4100000,2,0,52.0,83.0,14.304975,120.944111,0,Calabarzon
Pre-Selling 1BR (78.96 sqm) at The Residences At The Westin Manila Sonata Place,"Ortigas CBD, Pasig",21037273,1,1,78.0,0.0,14.5808822,121.05885,0,National Capital Region
"Studio Unit for Sale in Metrotowne, Las Pinas City","Talon Uno, Las Pinas",2600000,1,1,22.0,0.0,14.446596,120.987165,0,National Capital Region
"Pre-Selling Studio Unit (33 sqm) in Gateway Regency Studios, Mandaluyong","Barangka Ilaya, Mandaluyong",5700000,1,1,33.0,0.0,14.572246,121.05402,0,National Capital Region
"2-Storey 4BR House and Lot (Shanata Model) for Sale in Suntrust Sentosa, Calamba, Lag...","Punta, Calamba",8557360,4,0,171.0,176.0,14.176345,121.122173,0,Calabarzon
"3-Bedroom Unit for Sale in 88 Gibraltar Tower 1, Gibraltar, Baguio","Gibraltar, Baguio",11312000,3,2,72.0,0.0,16.419598,120.626852,0,Cordillera Administrative Region
"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Savannah","Palo-Alto, Calamba",5770000,4,0,80.0,110.0,14.188482,121.109967,0,Calabarzon
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -CHESSA Model","San Sebastian, Kawit",5978000,3,0,90.0,100.0,14.4185112,120.898962,0,Calabarzon
"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ALICE Mo...","Pasong Camachile I, General Trias",1880600,3,0,40.0,40.0,14.37318,120.896613,0,Calabarzon
"2BR Quadruplex Townhouse (TH-46) for Sale in Avila Heights, Santo Tomas, Batangas","San Antonio, Santo Tomas",2464168,2,0,46.0,51.0,14.12405,121.17277,0,Calabarzon
2 Bedroom Condo for Sale near SM Bacoor and Vista Mall NOMO,"Mambog I, Bacoor",6361200,2,1,40.0,0.0,14.4251071,120.9486663,0,Calabarzon
